"InvoiceLineId";"InvoiceId";"TrackId";"UnitPrice";"Quantity"
13;4;42;0.99;1
14;4;48;0.99;1
15;4;54;0.99;1
16;4;60;0.99;1
19;4;78;0.99;1
20;4;84;0.99;1
21;4;90;0.99;1
22;5;99;0.99;1
23;5;108;0.99;1
24;5;117;0.99;1
25;5;126;0.99;1
26;5;135;0.99;1
27;5;144;0.99;1
28;5;153;0.99;1
29;5;162;0.99;1
30;5;171;0.99;1
31;5;180;0.99;1
32;5;189;0.99;1
33;5;198;0.99;1
35;5;216;0.99;1
39;8;234;0.99;1
40;8;236;0.99;1
42;9;240;0.99;1
56;11;304;0.99;1
74;13;462;0.99;1
75;14;463;0.99;1
76;14;464;0.99;1
77;15;466;0.99;1
78;15;468;0.99;1
79;16;470;0.99;1
80;16;472;0.99;1
81;16;474;0.99;1
82;16;476;0.99;1
83;17;480;0.99;1
84;17;484;0.99;1
85;17;488;0.99;1
86;17;492;0.99;1
87;17;496;0.99;1
88;17;500;0.99;1
90;18;512;0.99;1
91;18;518;0.99;1
92;18;524;0.99;1
96;18;548;0.99;1
97;18;554;0.99;1
99;19;572;0.99;1
100;19;581;0.99;1
101;19;590;0.99;1
102;19;599;0.99;1
103;19;608;0.99;1
104;19;617;0.99;1
105;19;626;0.99;1
106;19;635;0.99;1
107;19;644;0.99;1
111;19;680;0.99;1
112;20;694;0.99;1
113;21;695;0.99;1
114;21;696;0.99;1
115;22;698;0.99;1
116;22;700;0.99;1
117;23;702;0.99;1
118;23;704;0.99;1
119;23;706;0.99;1
120;23;708;0.99;1
136;26;795;0.99;1
137;26;804;0.99;1
138;26;813;0.99;1
139;26;822;0.99;1
140;26;831;0.99;1
141;26;840;0.99;1
142;26;849;0.99;1
143;26;858;0.99;1
145;26;876;0.99;1
147;26;894;0.99;1
148;26;903;0.99;1
149;26;912;0.99;1
150;27;926;0.99;1
159;31;944;0.99;1
160;31;948;0.99;1
161;31;952;0.99;1
162;31;956;0.99;1
163;31;960;0.99;1
164;31;964;0.99;1
165;32;970;0.99;1
166;32;976;0.99;1
167;32;982;0.99;1
168;32;988;0.99;1
169;32;994;0.99;1
170;32;1000;0.99;1
171;32;1006;0.99;1
172;32;1012;0.99;1
173;32;1018;0.99;1
174;33;1027;0.99;1
175;33;1036;0.99;1
176;33;1045;0.99;1
177;33;1054;0.99;1
178;33;1063;0.99;1
179;33;1072;0.99;1
181;33;1090;0.99;1
182;33;1099;0.99;1
183;33;1108;0.99;1
185;33;1126;0.99;1
191;36;1162;0.99;1
192;36;1164;0.99;1
193;37;1166;0.99;1
194;37;1168;0.99;1
195;37;1170;0.99;1
196;37;1172;0.99;1
197;38;1176;0.99;1
198;38;1180;0.99;1
199;38;1184;0.99;1
200;38;1188;0.99;1
201;38;1192;0.99;1
202;38;1196;0.99;1
203;39;1202;0.99;1
204;39;1208;0.99;1
205;39;1214;0.99;1
206;39;1220;0.99;1
207;39;1226;0.99;1
208;39;1232;0.99;1
209;39;1238;0.99;1
210;39;1244;0.99;1
211;39;1250;0.99;1
227;42;1391;0.99;1
228;42;1392;0.99;1
229;43;1394;0.99;1
230;43;1396;0.99;1
231;44;1398;0.99;1
232;44;1400;0.99;1
233;44;1402;0.99;1
234;44;1404;0.99;1
235;45;1408;0.99;1
236;45;1412;0.99;1
237;45;1416;0.99;1
238;45;1420;0.99;1
239;45;1424;0.99;1
240;45;1428;0.99;1
250;47;1491;0.99;1
251;47;1500;0.99;1
252;47;1509;0.99;1
253;47;1518;0.99;1
257;47;1554;0.99;1
258;47;1563;0.99;1
259;47;1572;0.99;1
260;47;1581;0.99;1
261;47;1590;0.99;1
262;47;1599;0.99;1
263;47;1608;0.99;1
264;48;1622;0.99;1
265;49;1623;0.99;1
266;49;1624;0.99;1
267;50;1626;0.99;1
268;50;1628;0.99;1
291;54;1750;0.99;1
292;54;1759;0.99;1
294;54;1777;0.99;1
295;54;1786;0.99;1
296;54;1795;0.99;1
297;54;1804;0.99;1
298;54;1813;0.99;1
299;54;1822;0.99;1
300;54;1831;0.99;1
301;54;1840;0.99;1
311;59;1872;0.99;1
312;59;1876;0.99;1
313;59;1880;0.99;1
314;59;1884;0.99;1
315;59;1888;0.99;1
316;59;1892;0.99;1
317;60;1898;0.99;1
318;60;1904;0.99;1
319;60;1910;0.99;1
321;60;1922;0.99;1
322;60;1928;0.99;1
323;60;1934;0.99;1
324;60;1940;0.99;1
330;61;1991;0.99;1
331;61;2000;0.99;1
332;61;2009;0.99;1
339;61;2072;0.99;1
340;62;2086;0.99;1
341;63;2087;0.99;1
342;63;2088;0.99;1
345;65;2094;0.99;1
346;65;2096;0.99;1
347;65;2098;0.99;1
348;65;2100;0.99;1
349;66;2104;0.99;1
350;66;2108;0.99;1
351;66;2112;0.99;1
352;66;2116;0.99;1
353;66;2120;0.99;1
354;66;2124;0.99;1
378;69;2318;0.99;1
379;70;2319;0.99;1
380;70;2320;0.99;1
381;71;2322;0.99;1
382;71;2324;0.99;1
383;72;2326;0.99;1
384;72;2328;0.99;1
385;72;2330;0.99;1
386;72;2332;0.99;1
393;74;2362;0.99;1
394;74;2368;0.99;1
395;74;2374;0.99;1
396;74;2380;0.99;1
397;74;2386;0.99;1
398;74;2392;0.99;1
399;74;2398;0.99;1
400;74;2404;0.99;1
401;74;2410;0.99;1
431;81;2594;0.99;1
432;81;2600;0.99;1
433;81;2606;0.99;1
434;81;2612;0.99;1
435;81;2618;0.99;1
436;81;2624;0.99;1
437;81;2630;0.99;1
438;81;2636;0.99;1
439;81;2642;0.99;1
440;82;2651;0.99;1
441;82;2660;0.99;1
442;82;2669;0.99;1
443;82;2678;0.99;1
444;82;2687;0.99;1
445;82;2696;0.99;1
446;82;2705;0.99;1
447;82;2714;0.99;1
448;82;2723;0.99;1
449;82;2732;0.99;1
450;82;2741;0.99;1
451;82;2750;0.99;1
468;87;2820;1.99;1
469;88;2826;1.99;1
470;88;2832;1.99;1
471;88;2838;1.99;1
472;88;2844;1.99;1
473;88;2850;1.99;1
474;88;2856;1.99;1
475;88;2862;1.99;1
476;88;2868;1.99;1
477;88;2874;1.99;1
492;90;3014;0.99;1
493;91;3015;0.99;1
494;91;3016;0.99;1
495;92;3018;0.99;1
496;92;3020;0.99;1
497;93;3022;0.99;1
498;93;3024;0.99;1
499;93;3026;0.99;1
500;93;3028;0.99;1
501;94;3032;0.99;1
502;94;3036;0.99;1
503;94;3040;0.99;1
504;94;3044;0.99;1
505;94;3048;0.99;1
506;94;3052;0.99;1
530;97;3246;1.99;1
545;102;3290;0.99;1
546;102;3296;0.99;1
547;102;3302;0.99;1
548;102;3308;0.99;1
549;102;3314;0.99;1
550;102;3320;0.99;1
551;102;3326;0.99;1
552;102;3332;0.99;1
553;102;3338;1.99;1
554;103;3347;1.99;1
555;103;3356;0.99;1
556;103;3365;0.99;1
557;103;3374;0.99;1
558;103;3383;0.99;1
559;103;3392;0.99;1
560;103;3401;0.99;1
561;103;3410;0.99;1
563;103;3428;1.99;1
564;103;3437;0.99;1
565;103;3446;0.99;1
566;103;3455;0.99;1
567;103;3464;0.99;1
569;105;3479;0.99;1
571;106;3482;0.99;1
572;106;3484;0.99;1
573;107;3486;0.99;1
574;107;3488;0.99;1
575;107;3490;0.99;1
576;107;3492;0.99;1
578;108;3500;0.99;1
579;108;1;0.99;1
580;108;5;0.99;1
581;108;9;0.99;1
582;108;13;0.99;1
583;109;19;0.99;1
584;109;25;0.99;1
585;109;31;0.99;1
586;109;37;0.99;1
587;109;43;0.99;1
588;109;49;0.99;1
589;109;55;0.99;1
590;109;61;0.99;1
607;112;208;0.99;1
608;112;209;0.99;1
609;113;211;0.99;1
610;113;213;0.99;1
611;114;215;0.99;1
613;114;219;0.99;1
616;115;229;0.99;1
618;115;237;0.99;1
619;115;241;0.99;1
630;117;308;0.99;1
634;117;344;0.99;1
635;117;353;0.99;1
636;117;362;0.99;1
637;117;371;0.99;1
642;117;416;0.99;1
643;117;425;0.99;1
644;118;439;0.99;1
647;120;443;0.99;1
648;120;445;0.99;1
669;124;549;0.99;1
670;124;558;0.99;1
672;124;576;0.99;1
674;124;594;0.99;1
675;124;603;0.99;1
676;124;612;0.99;1
677;124;621;0.99;1
678;124;630;0.99;1
679;124;639;0.99;1
687;128;679;0.99;1
688;128;681;0.99;1
689;128;683;0.99;1
690;128;685;0.99;1
691;129;689;0.99;1
692;129;693;0.99;1
693;129;697;0.99;1
694;129;701;0.99;1
695;129;705;0.99;1
696;129;709;0.99;1
706;131;772;0.99;1
707;131;781;0.99;1
708;131;790;0.99;1
709;131;799;0.99;1
710;131;808;0.99;1
711;131;817;0.99;1
712;131;826;0.99;1
713;131;835;0.99;1
714;131;844;0.99;1
715;131;853;0.99;1
716;131;862;0.99;1
717;131;871;0.99;1
721;133;904;0.99;1
722;133;905;0.99;1
723;134;907;0.99;1
724;134;909;0.99;1
725;135;911;0.99;1
726;135;913;0.99;1
727;135;915;0.99;1
728;135;917;0.99;1
729;136;921;0.99;1
730;136;925;0.99;1
731;136;929;0.99;1
732;136;933;0.99;1
733;136;937;0.99;1
734;136;941;0.99;1
735;137;947;0.99;1
736;137;953;0.99;1
737;137;959;0.99;1
738;137;965;0.99;1
739;137;971;0.99;1
740;137;977;0.99;1
741;137;983;0.99;1
742;137;989;0.99;1
743;137;995;0.99;1
760;140;1137;0.99;1
761;141;1139;0.99;1
762;141;1141;0.99;1
782;145;1236;0.99;1
783;145;1245;0.99;1
784;145;1254;0.99;1
785;145;1263;0.99;1
786;145;1272;0.99;1
787;145;1281;0.99;1
788;145;1290;0.99;1
789;145;1299;0.99;1
790;145;1308;0.99;1
791;145;1317;0.99;1
792;145;1326;0.99;1
793;145;1335;0.99;1
794;145;1344;0.99;1
795;145;1353;0.99;1
796;146;1367;0.99;1
797;147;1368;0.99;1
798;147;1369;0.99;1
799;148;1371;0.99;1
800;148;1373;0.99;1
805;150;1385;0.99;1
806;150;1389;0.99;1
807;150;1393;0.99;1
808;150;1397;0.99;1
809;150;1401;0.99;1
810;150;1405;0.99;1
820;152;1468;0.99;1
821;152;1477;0.99;1
822;152;1486;0.99;1
823;152;1495;0.99;1
824;152;1504;0.99;1
825;152;1513;0.99;1
826;152;1522;0.99;1
827;152;1531;0.99;1
829;152;1549;0.99;1
830;152;1558;0.99;1
831;152;1567;0.99;1
832;152;1576;0.99;1
833;152;1585;0.99;1
839;156;1607;0.99;1
840;156;1609;0.99;1
841;156;1611;0.99;1
842;156;1613;0.99;1
843;157;1617;0.99;1
844;157;1621;0.99;1
845;157;1625;0.99;1
846;157;1629;0.99;1
847;157;1633;0.99;1
848;157;1637;0.99;1
849;158;1643;0.99;1
850;158;1649;0.99;1
851;158;1655;0.99;1
852;158;1661;0.99;1
853;158;1667;0.99;1
859;159;1709;0.99;1
863;159;1745;0.99;1
864;159;1754;0.99;1
865;159;1763;0.99;1
866;159;1772;0.99;1
867;159;1781;0.99;1
868;159;1790;0.99;1
869;159;1799;0.99;1
870;159;1808;0.99;1
871;159;1817;0.99;1
872;160;1831;0.99;1
873;161;1832;0.99;1
874;161;1833;0.99;1
877;163;1839;0.99;1
878;163;1841;0.99;1
879;163;1843;0.99;1
880;163;1845;0.99;1
912;168;2065;0.99;1
913;169;2067;0.99;1
914;169;2069;0.99;1
915;170;2071;0.99;1
916;170;2073;0.99;1
917;170;2075;0.99;1
925;172;2107;0.99;1
926;172;2113;0.99;1
927;172;2119;0.99;1
928;172;2125;0.99;1
929;172;2131;0.99;1
930;172;2137;0.99;1
931;172;2143;0.99;1
932;172;2149;0.99;1
933;172;2155;0.99;1
957;178;2313;0.99;1
958;178;2317;0.99;1
959;178;2321;0.99;1
960;178;2325;0.99;1
961;178;2329;0.99;1
962;178;2333;0.99;1
964;179;2345;0.99;1
965;179;2351;0.99;1
966;179;2357;0.99;1
967;179;2363;0.99;1
968;179;2369;0.99;1
969;179;2375;0.99;1
970;179;2381;0.99;1
971;179;2387;0.99;1
972;180;2396;0.99;1
973;180;2405;0.99;1
974;180;2414;0.99;1
975;180;2423;0.99;1
976;180;2432;0.99;1
977;180;2441;0.99;1
979;180;2459;0.99;1
981;180;2477;0.99;1
982;180;2486;0.99;1
983;180;2495;0.99;1
984;180;2504;0.99;1
985;180;2513;0.99;1
986;181;2527;0.99;1
989;183;2531;0.99;1
990;183;2533;0.99;1
991;184;2535;0.99;1
992;184;2537;0.99;1
993;184;2539;0.99;1
994;184;2541;0.99;1
995;185;2545;0.99;1
996;185;2549;0.99;1
997;185;2553;0.99;1
998;185;2557;0.99;1
999;185;2561;0.99;1
1000;185;2565;0.99;1
1001;186;2571;0.99;1
1002;186;2577;0.99;1
1003;186;2583;0.99;1
1004;186;2589;0.99;1
1005;186;2595;0.99;1
1006;186;2601;0.99;1
1007;186;2607;0.99;1
1008;186;2613;0.99;1
1009;186;2619;0.99;1
1027;190;2763;0.99;1
1031;191;2771;0.99;1
1048;194;2860;1.99;1
1049;194;2869;1.99;1
1050;194;2878;1.99;1
1051;194;2887;1.99;1
1052;194;2896;1.99;1
1053;194;2905;1.99;1
1054;194;2914;1.99;1
1055;194;2923;1.99;1
1056;194;2932;0.99;1
1057;194;2941;0.99;1
1058;194;2950;0.99;1
1059;194;2959;0.99;1
1060;194;2968;0.99;1
1061;194;2977;0.99;1
1077;200;3035;0.99;1
1078;200;3041;0.99;1
1079;200;3047;0.99;1
1080;200;3053;0.99;1
1081;200;3059;0.99;1
1082;200;3065;0.99;1
1083;200;3071;0.99;1
1084;200;3077;0.99;1
1085;200;3083;0.99;1
1086;201;3092;0.99;1
1087;201;3101;0.99;1
1088;201;3110;0.99;1
1091;201;3137;0.99;1
1093;201;3155;0.99;1
1094;201;3164;0.99;1
1095;201;3173;1.99;1
1096;201;3182;1.99;1
1097;201;3191;1.99;1
1098;201;3200;1.99;1
1099;201;3209;1.99;1
1100;202;3223;1.99;1
1101;203;3224;1.99;1
1102;203;3225;0.99;1
1103;204;3227;1.99;1
1104;204;3229;1.99;1
1109;206;3241;1.99;1
1110;206;3245;1.99;1
1111;206;3249;1.99;1
1112;206;3253;0.99;1
1113;206;3257;0.99;1
1114;206;3261;0.99;1
1115;207;3267;0.99;1
1116;207;3273;0.99;1
1117;207;3279;0.99;1
1118;207;3285;0.99;1
1119;207;3291;0.99;1
1120;207;3297;0.99;1
1121;207;3303;0.99;1
1122;207;3309;0.99;1
1123;207;3315;0.99;1
1138;209;3455;0.99;1
1139;210;3456;0.99;1
1140;210;3457;0.99;1
1141;211;3459;0.99;1
1142;211;3461;0.99;1
1143;212;3463;0.99;1
1144;212;3465;0.99;1
1145;212;3467;0.99;1
